timestamp,event_id,event_type,computer,channel,user,domain,source_ip,port,logon_type,logon_type_name,process_name,failure_reason,workstation
2024-05-19 08:01:53+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.10,55010.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:01:58+00:00,4688,process_created,DESKTOP-WIN01,Security,alopez,WORKGROUP,,,,,C:\Program Files\Google\Chrome\Application\chrome.exe,,
2024-05-19 08:02:30+00:00,4624,logon_success,DESKTOP-WIN01,Security,lrodriguez,WORKGROUP,192.168.1.20,61704.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:04:57+00:00,4624,logon_success,DESKTOP-WIN01,Security,jsmith,WORKGROUP,192.168.1.20,65184.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:05:02+00:00,4688,process_created,DESKTOP-WIN01,Security,jsmith,WORKGROUP,,,,,C:\Program Files\Microsoft Office\Office16\WINWORD.EXE,,
2024-05-19 08:07:42+00:00,4624,logon_success,DESKTOP-WIN01,Security,mgarcia,WORKGROUP,192.168.1.11,61869.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:08:46+00:00,4624,logon_success,DESKTOP-WIN01,Security,mgarcia,WORKGROUP,192.168.1.11,55017.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:10:22+00:00,4624,logon_success,DESKTOP-WIN01,Security,jsmith,WORKGROUP,192.168.1.20,52029.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:12:15+00:00,4624,logon_success,DESKTOP-WIN01,Security,jsmith,WORKGROUP,192.168.1.11,49401.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:13:57+00:00,4624,logon_success,DESKTOP-WIN01,Security,rperez,WORKGROUP,192.168.1.10,64293.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:14:57+00:00,4624,logon_success,DESKTOP-WIN01,Security,rperez,WORKGROUP,192.168.1.11,50833.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:15:02+00:00,4688,process_created,DESKTOP-WIN01,Security,rperez,WORKGROUP,,,,,C:\Program Files\Google\Chrome\Application\chrome.exe,,
2024-05-19 08:15:53+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.20,54972.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:18:52+00:00,4624,logon_success,DESKTOP-WIN01,Security,mgarcia,WORKGROUP,192.168.1.10,52749.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:18:57+00:00,4688,process_created,DESKTOP-WIN01,Security,mgarcia,WORKGROUP,,,,,C:\Windows\explorer.exe,,
2024-05-19 08:20:54+00:00,4624,logon_success,DESKTOP-WIN01,Security,jsmith,WORKGROUP,192.168.1.11,51970.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:20:59+00:00,4688,process_created,DESKTOP-WIN01,Security,jsmith,WORKGROUP,,,,,C:\Program Files\Microsoft Office\Office16\WINWORD.EXE,,
2024-05-19 08:21:10+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.11,53602.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:22:11+00:00,4624,logon_success,DESKTOP-WIN01,Security,jsmith,WORKGROUP,192.168.1.20,56080.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:24:40+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.10,60745.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:26:51+00:00,4624,logon_success,DESKTOP-WIN01,Security,jsmith,WORKGROUP,192.168.1.10,54081.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:28:45+00:00,4624,logon_success,DESKTOP-WIN01,Security,jsmith,WORKGROUP,192.168.1.10,53042.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:28:50+00:00,4688,process_created,DESKTOP-WIN01,Security,jsmith,WORKGROUP,,,,,C:\Program Files\Google\Chrome\Application\chrome.exe,,
2024-05-19 08:29:45+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.10,55953.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:31:16+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.10,57592.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:31:21+00:00,4688,process_created,DESKTOP-WIN01,Security,alopez,WORKGROUP,,,,,C:\Windows\System32\cmd.exe,,
2024-05-19 08:32:18+00:00,4624,logon_success,DESKTOP-WIN01,Security,jsmith,WORKGROUP,192.168.1.20,58579.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:32:23+00:00,4688,process_created,DESKTOP-WIN01,Security,jsmith,WORKGROUP,,,,,C:\Windows\System32\svchost.exe,,
2024-05-19 08:33:59+00:00,4624,logon_success,DESKTOP-WIN01,Security,mgarcia,WORKGROUP,192.168.1.11,62229.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:34:04+00:00,4688,process_created,DESKTOP-WIN01,Security,mgarcia,WORKGROUP,,,,,C:\Windows\explorer.exe,,
2024-05-19 08:35:52+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.11,52188.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:35:57+00:00,4688,process_created,DESKTOP-WIN01,Security,alopez,WORKGROUP,,,,,C:\Windows\System32\svchost.exe,,
2024-05-19 08:37:42+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.11,56695.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:37:47+00:00,4688,process_created,DESKTOP-WIN01,Security,alopez,WORKGROUP,,,,,C:\Program Files\Google\Chrome\Application\chrome.exe,,
2024-05-19 08:40:44+00:00,4624,logon_success,DESKTOP-WIN01,Security,lrodriguez,WORKGROUP,192.168.1.10,59438.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:40:49+00:00,4688,process_created,DESKTOP-WIN01,Security,lrodriguez,WORKGROUP,,,,,C:\Program Files\Google\Chrome\Application\chrome.exe,,
2024-05-19 08:42:37+00:00,4624,logon_success,DESKTOP-WIN01,Security,lrodriguez,WORKGROUP,192.168.1.11,51777.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:44:34+00:00,4624,logon_success,DESKTOP-WIN01,Security,lrodriguez,WORKGROUP,192.168.1.10,58754.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:46:06+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.20,53322.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:47:21+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.11,62565.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:50:07+00:00,4624,logon_success,DESKTOP-WIN01,Security,mgarcia,WORKGROUP,192.168.1.11,61569.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:52:51+00:00,4624,logon_success,DESKTOP-WIN01,Security,rperez,WORKGROUP,192.168.1.20,63571.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:52:56+00:00,4688,process_created,DESKTOP-WIN01,Security,rperez,WORKGROUP,,,,,C:\Windows\System32\cmd.exe,,
2024-05-19 08:53:56+00:00,4624,logon_success,DESKTOP-WIN01,Security,lrodriguez,WORKGROUP,192.168.1.10,60794.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:54:55+00:00,4624,logon_success,DESKTOP-WIN01,Security,mgarcia,WORKGROUP,192.168.1.20,57703.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:56:04+00:00,4624,logon_success,DESKTOP-WIN01,Security,alopez,WORKGROUP,192.168.1.11,62255.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:56:09+00:00,4688,process_created,DESKTOP-WIN01,Security,alopez,WORKGROUP,,,,,C:\Program Files\Microsoft Office\Office16\WINWORD.EXE,,
2024-05-19 08:58:35+00:00,4624,logon_success,DESKTOP-WIN01,Security,mgarcia,WORKGROUP,192.168.1.10,59327.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:59:27+00:00,4624,logon_success,DESKTOP-WIN01,Security,rperez,WORKGROUP,192.168.1.11,55879.0,3,Network,,,DESKTOP-WIN01
2024-05-19 08:59:32+00:00,4688,process_created,DESKTOP-WIN01,Security,rperez,WORKGROUP,,,,,C:\Windows\explorer.exe,,
2024-05-19 09:01:41+00:00,4624,logon_success,DESKTOP-WIN01,Security,rperez,WORKGROUP,192.168.1.20,58572.0,3,Network,,,DESKTOP-WIN01
2024-05-19 09:01:46+00:00,4688,process_created,DESKTOP-WIN01,Security,rperez,WORKGROUP,,,,,C:\Windows\System32\svchost.exe,,
2024-05-19 09:02:22+00:00,4624,logon_success,DESKTOP-WIN01,Security,lrodriguez,WORKGROUP,192.168.1.10,50199.0,3,Network,,,DESKTOP-WIN01
2024-05-19 09:04:18+00:00,4624,logon_success,DESKTOP-WIN01,Security,lrodriguez,WORKGROUP,192.168.1.11,58824.0,3,Network,,,DESKTOP-WIN01
2024-05-19 09:04:23+00:00,4688,process_created,DESKTOP-WIN01,Security,lrodriguez,WORKGROUP,,,,,C:\Windows\System32\svchost.exe,,
